lane,lane_label,run_id,item_id,batch_label,condition,difficulty,correct_key,seed_doc_path,lane_decision,lane_source_alignment,lane_distractor_quality,lane_stem_clarity,lane_difficulty_match_raw,lane_difficulty_match_pass,reviewer_decision,agrees_with_reviewer,flag_ambiguity,chunks_support_question,correct_answer_verifiable,distractors_clearly_wrong,reviewer_source_call_accurate,lane_notes
claude,Claude,20260330_003121Z_local_local,item_1,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,3,4,4,True,REVISE,True,False,True,True,False,True,Chunk 0 perfectly grounds the correct answer B. Option D (eliminates bullwhip) is clearly wrong and easily dismissed; option C is partially misleading — risk pooling does reduce safety stock but doesn't eliminate it — making distractor quality uneven and a REVISE appropriate.
codex,Codex,20260330_003121Z_local_local,item_1,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,2,5,5,True,REVISE,True,True,True,True,False,False,"Core concept and key are supported, but the distractor set is weak. Option C is partially plausible and Option D is trivially wrong, so the item needs distractor revision rather than source repair."
claude,Claude,20260330_003121Z_local_local,item_10,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REJECT,3,3,1,3,False,REVISE,False,True,True,True,False,False,"The question stem is None; options are declarative statements about the capacitated DELS model. While answer B correctly states the ZICO theorem as found in chunk 0, the complete absence of a question stem makes this unusable as an MCQ without a full rewrite."
codex,Codex,20260330_003121Z_local_local,item_10,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REVISE,5,3,1,4,True,REVISE,True,True,True,True,False,True,"The content is well supported, but the missing stem leaves the task unspecified and more than one option reads as simply true. Revise into a normal single-question MCQ."
claude,Claude,20260330_003121Z_local_local,item_11,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,3,4,4,True,REVISE,False,False,True,True,True,True,"Chunk 0 directly states that traditional accounting fails to reveal true costs across customer segments and channels, perfectly grounding answer B. The distractors are plausible for an easy item and the stem is clear; ACCEPT is warranted despite the reviewer's REVISE."
codex,Codex,20260330_003121Z_local_local,item_11,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,"The source directly supports the keyed answer about lacking cost transparency across customers and channels. The distractors are not great, but the item is still usable as an easy recall question."
claude,Claude,20260330_003121Z_local_local,item_12,local-local,local/local,easy,B|A|C|D,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,Question stem is None with options being independent questions and a multi-part correct key — another garbled generation output that is irreparable without a complete rewrite.
codex,Codex,20260330_003121Z_local_local,item_12,local-local,local/local,easy,B|A|C|D,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,"Another structurally broken row: no stem, options are separate questions, and the answer key lists multiple letters. Reject and regenerate as a real MCQ."
claude,Claude,20260330_003121Z_local_local,item_13,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,REVISE,5,4,4,4,True,REVISE,True,False,True,True,True,True,"Chunk clearly states the three forecasting principles, making A (the false statement 'forecasts are always accurate') verifiable. The 'does NOT apply' framing adds cognitive complexity beyond easy level and the near-opposite wording of A vs. the chunk may cause confusion."
codex,Codex,20260330_003121Z_local_local,item_13,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Stochastic Inventory Models and Supply Contracts.pdf,ACCEPT,5,4,5,4,True,REVISE,False,False,True,True,True,False,The forecasting-principles chunk directly supports the keyed exception. This is easy but valid.
claude,Claude,20260330_003121Z_local_local,item_14,local-local,local/local,easy,B|C|D|A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,No question stem; options are separate questions with multi-part correct key — a structurally broken generation artifact requiring full rewrite.
codex,Codex,20260330_003121Z_local_local,item_14,local-local,local/local,easy,B|C|D|A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,REJECT,2,1,1,2,False,REVISE,False,True,False,False,False,False,Malformed multi-question row with no stem and a multi-answer key. Reject rather than patching around the broken structure.
claude,Claude,20260330_003121Z_local_local,item_15,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REVISE,5,4,4,2,False,REVISE,True,False,True,True,True,True,"Chunk 0 directly defines Y_k as the sum of production quantities from i+1 to k, fully grounding answer B. However, the capacitated shortest-path network concept is distinctly advanced (medium-hard level) making the 'easy' difficulty label a significant mismatch."
codex,Codex,20260330_003121Z_local_local,item_15,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,The chunk explicitly defines cumulative production Y_k as the sum of production quantities over the relevant periods. Usable as an easy definition item.
claude,Claude,20260330_003121Z_local_local,item_16,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk explicitly states EOQ assumptions including infinite planning horizon and constant deterministic demand, perfectly grounding B. Distractors are plausible misconceptions for an easy item."
codex,Codex,20260330_003121Z_local_local,item_16,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Inventory and EOQ Models.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Clean EOQ assumptions item with a directly supported keyed answer.
claude,Claude,20260330_003121Z_local_local,item_17,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunk directly distinguishes planning systems (forecasting/optimization) from execution systems (product flow management), perfectly grounding A. All distractors introduce plausible but incorrect distinctions."
codex,Codex,20260330_003121Z_local_local,item_17,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\supplychainmanagement-ppt.pptx,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Planning versus execution is explained explicitly in the source and the keyed answer is clean.
claude,Claude,20260330_003121Z_local_local,item_18,local-local,local/local,easy,C,C:\Users\kadek\source\repos\domainRag\example1\BeerGame.pptx,REVISE,4,3,4,4,True,REVISE,True,True,True,True,False,True,"Chunks list multiple co-equal causes of the bullwhip effect including many stages, long lead times, and lack of visibility; singling out 'many stages' as the amplifier is defensible but potentially ambiguous since long lead times (option A phrased as short lead times) is also prominent in the chunk. Distractor quality suffers because option B (perfect information) is a bullwhip mitigation, not a neutral or irrelevant choice."
codex,Codex,20260330_003121Z_local_local,item_18,local-local,local/local,easy,C,C:\Users\kadek\source\repos\domainRag\example1\BeerGame.pptx,ACCEPT,4,3,5,4,True,REVISE,False,False,True,True,True,False,The source names structural features including many stages as amplifiers of the bullwhip effect. The item is simple but valid.
claude,Claude,20260330_003121Z_local_local,item_19,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,ACCEPT,5,3,5,4,True,ACCEPT,True,False,True,True,True,True,"Chunk 0 explicitly states the storefront concept centralizes inventory/distribution while decentralizing customer-facing functions, directly grounding answer A. The distractors are not supported by the chunks but are plausible enough for an easy item."
codex,Codex,20260330_003121Z_local_local,item_19,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Issues in Supply Chain Strategy.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Well supported by the storefront example and appropriately scoped for an easy item.
claude,Claude,20260330_003121Z_local_local,item_2,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Supply Chain Management.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,"Chunks directly state that small consumer demand changes amplify into large upstream fluctuations, perfectly grounding answer B. All three distractors are clearly contradicted by the chunks."
codex,Codex,20260330_003121Z_local_local,item_2,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\Introduction to Supply Chain Management.pdf,ACCEPT,5,4,5,5,True,ACCEPT,True,False,True,True,True,True,Clean easy-definition item. The chunks directly support the keyed answer and the distractors are false in straightforward ways without creating a second plausible correct choice.
claude,Claude,20260330_003121Z_local_local,item_20,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REJECT,3,3,1,3,False,REVISE,False,True,True,True,False,False,"Question stem is None; declarative option statements about the DELS/ZIO model with no guiding question. Answer A correctly states the ZIO policy per the chunk, but without a stem the item cannot function as an MCQ."
codex,Codex,20260330_003121Z_local_local,item_20,local-local,local/local,easy,A,C:\Users\kadek\source\repos\domainRag\example1\Logistitics and Distribution Systems.pdf,REVISE,5,2,1,3,False,REVISE,True,True,True,True,False,True,"The keyed option is supported, but the item is missing a stem and at least one other option is also true in isolation. Revise into a single clear ask."
claude,Claude,20260330_003121Z_local_local,item_21,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,REVISE,4,3,4,4,True,REVISE,True,False,True,True,True,True,"Chunk discusses how conventional hierarchical structures prioritize departmental objectives over overall efficiency, supporting answer B. The stem is clear but options A and C are not easily eliminated by someone with only partial knowledge, and the item is labeled easy despite requiring specific recall of the org-structure critique."
codex,Codex,20260330_003121Z_local_local,item_21,local-local,local/local,easy,B,C:\Users\kadek\source\repos\domainRag\example1\chapter-16.pptx,ACCEPT,5,3,5,4,True,REVISE,False,False,True,True,True,False,The passage directly supports sub-optimization from departmental silos. This is easy but valid and does not require revision to function as a basic concept check.
claude,Claude,20260330_003121Z_local_local,item_22,local-local,local/local,easy,B|C|D|B,C:\Users\kadek\source\repos\domainRag\example1\Newsboy Model with Pricing.pdf,REJECT,2,2,1,2,False,REVISE,False,True,True,False,False,False,Question stem is None with multi-part correct key — a structurally broken generation output that is unrepairable without complete rewrite.
