lane,slice_type,condition,difficulty,failure_mode,count,denominator,rate_percent
claude,overall,*,*,non_accept,482,1200,40.167
claude,overall,*,*,reject,84,1200,7.0
claude,overall,*,*,revise,398,1200,33.167
claude,overall,*,*,ambiguity_flagged,102,1200,8.5
claude,overall,*,*,chunks_not_supportive,700,1200,58.333
claude,overall,*,*,answer_not_verifiable,177,1200,14.75
claude,overall,*,*,distractors_not_clear,532,1200,44.333
claude,overall,*,*,reviewer_source_call_inaccurate,737,1200,61.417
claude,overall,*,*,low_source_alignment,817,1200,68.083
claude,overall,*,*,low_distractor_quality,935,1200,77.917
claude,overall,*,*,low_stem_clarity,263,1200,21.917
claude,overall,*,*,difficulty_mismatch,313,1200,26.083
claude,overall,*,*,disagrees_with_reviewer,287,1200,23.917
claude,condition,gpt/baseline,*,non_accept,129,600,21.5
claude,condition,gpt/baseline,*,reject,0,600,0.0
claude,condition,gpt/baseline,*,revise,129,600,21.5
claude,condition,gpt/baseline,*,ambiguity_flagged,2,600,0.333
claude,condition,gpt/baseline,*,chunks_not_supportive,600,600,100.0
claude,condition,gpt/baseline,*,answer_not_verifiable,0,600,0.0
claude,condition,gpt/baseline,*,distractors_not_clear,298,600,49.667
claude,condition,gpt/baseline,*,reviewer_source_call_inaccurate,600,600,100.0
claude,condition,gpt/baseline,*,low_source_alignment,600,600,100.0
claude,condition,gpt/baseline,*,low_distractor_quality,582,600,97.0
claude,condition,gpt/baseline,*,low_stem_clarity,129,600,21.5
claude,condition,gpt/baseline,*,difficulty_mismatch,65,600,10.833
claude,condition,gpt/baseline,*,disagrees_with_reviewer,0,600,0.0
claude,condition,haiku/haiku,*,non_accept,97,150,64.667
claude,condition,haiku/haiku,*,reject,19,150,12.667
claude,condition,haiku/haiku,*,revise,78,150,52.0
claude,condition,haiku/haiku,*,ambiguity_flagged,25,150,16.667
claude,condition,haiku/haiku,*,chunks_not_supportive,37,150,24.667
claude,condition,haiku/haiku,*,answer_not_verifiable,42,150,28.0
claude,condition,haiku/haiku,*,distractors_not_clear,57,150,38.0
claude,condition,haiku/haiku,*,reviewer_source_call_inaccurate,40,150,26.667
claude,condition,haiku/haiku,*,low_source_alignment,53,150,35.333
claude,condition,haiku/haiku,*,low_distractor_quality,96,150,64.0
claude,condition,haiku/haiku,*,low_stem_clarity,33,150,22.0
claude,condition,haiku/haiku,*,difficulty_mismatch,102,150,68.0
claude,condition,haiku/haiku,*,disagrees_with_reviewer,85,150,56.667
claude,condition,haiku/local,*,non_accept,65,150,43.333
claude,condition,haiku/local,*,reject,15,150,10.0
claude,condition,haiku/local,*,revise,50,150,33.333
claude,condition,haiku/local,*,ambiguity_flagged,17,150,11.333
claude,condition,haiku/local,*,chunks_not_supportive,31,150,20.667
claude,condition,haiku/local,*,answer_not_verifiable,38,150,25.333
claude,condition,haiku/local,*,distractors_not_clear,36,150,24.0
claude,condition,haiku/local,*,reviewer_source_call_inaccurate,34,150,22.667
claude,condition,haiku/local,*,low_source_alignment,43,150,28.667
claude,condition,haiku/local,*,low_distractor_quality,62,150,41.333
claude,condition,haiku/local,*,low_stem_clarity,26,150,17.333
claude,condition,haiku/local,*,difficulty_mismatch,23,150,15.333
claude,condition,haiku/local,*,disagrees_with_reviewer,67,150,44.667
claude,condition,local/haiku,*,non_accept,104,150,69.333
claude,condition,local/haiku,*,reject,21,150,14.0
claude,condition,local/haiku,*,revise,83,150,55.333
claude,condition,local/haiku,*,ambiguity_flagged,26,150,17.333
claude,condition,local/haiku,*,chunks_not_supportive,29,150,19.333
claude,condition,local/haiku,*,answer_not_verifiable,55,150,36.667
claude,condition,local/haiku,*,distractors_not_clear,74,150,49.333
claude,condition,local/haiku,*,reviewer_source_call_inaccurate,39,150,26.0
claude,condition,local/haiku,*,low_source_alignment,69,150,46.0
claude,condition,local/haiku,*,low_distractor_quality,96,150,64.0
claude,condition,local/haiku,*,low_stem_clarity,37,150,24.667
claude,condition,local/haiku,*,difficulty_mismatch,72,150,48.0
claude,condition,local/haiku,*,disagrees_with_reviewer,83,150,55.333
claude,condition,local/local,*,non_accept,87,150,58.0
claude,condition,local/local,*,reject,29,150,19.333
claude,condition,local/local,*,revise,58,150,38.667
claude,condition,local/local,*,ambiguity_flagged,32,150,21.333
claude,condition,local/local,*,chunks_not_supportive,3,150,2.0
claude,condition,local/local,*,answer_not_verifiable,42,150,28.0
claude,condition,local/local,*,distractors_not_clear,67,150,44.667
claude,condition,local/local,*,reviewer_source_call_inaccurate,24,150,16.0
claude,condition,local/local,*,low_source_alignment,52,150,34.667
claude,condition,local/local,*,low_distractor_quality,99,150,66.0
claude,condition,local/local,*,low_stem_clarity,38,150,25.333
claude,condition,local/local,*,difficulty_mismatch,51,150,34.0
claude,condition,local/local,*,disagrees_with_reviewer,52,150,34.667
claude,difficulty,*,,non_accept,3,3,100.0
claude,difficulty,*,,reject,1,3,33.333
claude,difficulty,*,,revise,2,3,66.667
claude,difficulty,*,,ambiguity_flagged,2,3,66.667
claude,difficulty,*,,chunks_not_supportive,0,3,0.0
claude,difficulty,*,,answer_not_verifiable,2,3,66.667
claude,difficulty,*,,distractors_not_clear,2,3,66.667
claude,difficulty,*,,reviewer_source_call_inaccurate,2,3,66.667
claude,difficulty,*,,low_source_alignment,1,3,33.333
claude,difficulty,*,,low_distractor_quality,3,3,100.0
claude,difficulty,*,,low_stem_clarity,3,3,100.0
